Month,Place_Type,Climate,Trip_Duration_Days,Companions,Interest,Budget_Thousand_INR
April,Beach,Moderate,5,o,Adventure,12.47
October,Historical,Hot,14,o,Adventure,12.69
June,Wildlife,Hot,7,o,Culture,20.22
January,City,Moderate,4,o,Relaxation,16.76
October,Historical,Hot,6,o,Food,13.18
March,Hill Station,Cold,2,o,Culture,15.96
August,City,Moderate,4,o,Shopping,13.58
October,Beach,Hot,2,o,Culture,18.28
February,Beach,Hot,4,o,Relaxation,17.63
October,Wildlife,Moderate,1,o,Adventure,18.57
August,Wildlife,Hot,1,o,Adventure,11.5
October,City,Moderate,7,o,Culture,18.76
March,Religious,Moderate,10,o,Food,7.33
August,City,Moderate,7,o,Adventure,13.21
March,Historical,Hot,5,o,Adventure,8.12
February,Religious,Moderate,4,o,Culture,8.91
March,Religious,Moderate,14,o,Culture,8.25
November,City,Moderate,14,o,Shopping,16.72
January,Religious,Moderate,7,o,Culture,9.81
September,Hill Station,Cold,1,o,Relaxation,19.01
March,Religious,Moderate,7,o,Relaxation,14.55
August,Beach,Hot,3,o,Culture,26.91
May,Historical,Hot,3,o,Shopping,7.56
December,Beach,Hot,4,o,Food,21.44
August,Hill Station,Moderate,14,o,Adventure,15.6
January,Wildlife,Hot,7,o,Relaxation,18.95
July,Religious,Moderate,4,o,Food,9.91
September,Religious,Moderate,3,o,Shopping,10.17
November,City,Moderate,10,o,Culture,14.35
June,Historical,Hot,14,o,Food,10.58
April,Historical,Hot,2,o,Adventure,10.9
June,City,Moderate,4,o,Shopping,13.0
March,Religious,Moderate,10,o,Adventure,14.45
December,City,Moderate,7,o,Culture,9.6
August,Religious,Moderate,7,o,Shopping,13.28
May,Religious,Moderate,5,o,Adventure,13.38
January,Wildlife,Moderate,14,o,Shopping,19.36
July,City,Moderate,7,o,Culture,8.95
May,Historical,Hot,1,o,Shopping,10.75
June,City,Moderate,1,o,Relaxation,13.1
April,City,Moderate,3,o,Shopping,13.33
October,Wildlife,Hot,6,o,Adventure,20.01
July,Beach,Hot,2,o,Adventure,17.9
September,Religious,Moderate,2,o,Culture,8.04
April,Religious,Moderate,6,o,Food,10.15
September,Wildlife,Hot,7,o,Relaxation,18.59
March,Religious,Moderate,6,o,Culture,15.87
September,City,Moderate,4,o,Relaxation,13.07
September,Hill Station,Cold,2,o,Adventure,10.62
January,Wildlife,Hot,3,o,Shopping,20.87
April,City,Moderate,4,o,Adventure,15.29
July,Hill Station,Cold,7,o,Adventure,10.37
February,Beach,Hot,2,o,Adventure,18.1
January,Wildlife,Hot,14,o,Adventure,16.29
December,Wildlife,Hot,7,o,Adventure,19.23
July,Beach,Moderate,14,o,Culture,18.98
May,Religious,Moderate,10,o,Culture,12.11
November,Beach,Moderate,10,o,Culture,15.48
February,Historical,Hot,4,o,Shopping,8.53
May,Historical,Hot,14,o,Shopping,11.93
January,Wildlife,Moderate,10,o,Shopping,14.81
September,Religious,Moderate,2,o,Culture,8.57
January,Historical,Hot,7,o,Food,8.66
August,Beach,Moderate,2,o,Culture,18.87
March,Religious,Moderate,2,o,Culture,13.15
August,Hill Station,Moderate,4,o,Relaxation,16.22
October,Hill Station,Cold,10,o,Shopping,16.65
August,Wildlife,Hot,5,o,Adventure,17.45
March,Historical,Hot,1,o,Culture,13.09
May,City,Moderate,4,o,Adventure,13.02
August,Wildlife,Hot,6,o,Food,10.74
August,Religious,Moderate,10,o,Culture,7.86
July,Wildlife,Moderate,2,o,Adventure,17.09
March,Historical,Hot,14,o,Adventure,13.12
April,Religious,Moderate,10,o,Relaxation,11.94
August,Hill Station,Cold,3,o,Shopping,14.61
December,Religious,Moderate,14,o,Relaxation,12.02
May,Historical,Hot,2,o,Adventure,15.61
September,Historical,Hot,6,o,Culture,14.33
November,Wildlife,Hot,3,o,Food,16.57
November,Beach,Moderate,4,o,Food,21.02
October,Wildlife,Moderate,5,o,Food,20.09
June,Historical,Hot,3,o,Relaxation,14.62
June,Beach,Hot,7,o,Adventure,21.66
February,Beach,Hot,1,o,Shopping,18.9
December,City,Moderate,2,o,Relaxation,13.22
February,Wildlife,Hot,1,o,Culture,16.55
March,Wildlife,Hot,2,o,Food,13.64
November,City,Moderate,1,o,Culture,11.82
July,Beach,Moderate,5,o,Culture,15.97
September,City,Moderate,14,o,Culture,13.63
October,Religious,Moderate,3,o,Adventure,11.27
March,Hill Station,Cold,5,o,Culture,20.42
September,Wildlife,Hot,7,o,Relaxation,18.14
November,City,Moderate,10,o,Food,14.13
April,Beach,Hot,4,o,Adventure,23.65
March,Hill Station,Cold,10,o,Relaxation,18.17
January,Hill Station,Moderate,3,o,Adventure,13.28
November,Wildlife,Hot,10,o,Shopping,18.0
February,City,Moderate,4,o,Food,13.22
July,Wildlife,Hot,10,o,Shopping,17.56
June,City,Moderate,14,o,Food,10.25
November,Hill Station,Moderate,5,o,Relaxation,12.49
September,Religious,Moderate,10,o,Shopping,13.99
September,Historical,Hot,7,o,Adventure,9.81
January,Religious,Moderate,6,o,Relaxation,7.93
April,Historical,Hot,14,o,Shopping,11.09
March,Beach,Hot,1,o,Culture,21.27
September,Beach,Hot,4,o,Culture,20.12
February,Hill Station,Cold,6,o,Culture,15.84
May,City,Moderate,1,o,Food,6.6
July,Religious,Moderate,1,o,Shopping,14.04
November,Religious,Moderate,1,o,Culture,10.53
October,Wildlife,Hot,10,o,Shopping,13.59
December,Historical,Hot,14,o,Shopping,12.07
January,Hill Station,Moderate,3,o,Culture,14.46
February,Religious,Moderate,7,o,Relaxation,10.68
November,Hill Station,Cold,1,o,Shopping,10.34
May,City,Moderate,4,o,Food,18.24
November,Religious,Moderate,6,o,Culture,15.2
December,Religious,Moderate,6,o,Food,9.85
July,Wildlife,Moderate,1,o,Shopping,18.49
March,Hill Station,Cold,5,o,Food,18.21
January,Hill Station,Cold,5,o,Shopping,17.57
July,Wildlife,Hot,3,o,Food,14.52
May,Religious,Moderate,14,o,Culture,13.69
August,City,Moderate,2,o,Culture,7.98
February,Wildlife,Hot,2,o,Adventure,19.38
June,Beach,Hot,1,o,Relaxation,19.63
November,Beach,Hot,6,o,Relaxation,18.89
May,Historical,Hot,4,o,Relaxation,7.96
January,Religious,Moderate,7,o,Culture,8.86
May,Religious,Moderate,3,o,Relaxation,12.56
April,Wildlife,Moderate,4,o,Shopping,17.45
May,City,Moderate,5,o,Relaxation,12.13
February,Religious,Moderate,10,o,Culture,10.64
November,City,Moderate,14,o,Culture,15.22
October,Historical,Hot,7,o,Adventure,12.1
June,Beach,Hot,5,o,Shopping,16.87
September,Beach,Hot,5,o,Food,24.37
April,Hill Station,Cold,10,o,Culture,17.42
September,City,Moderate,3,o,Adventure,16.76
October,Historical,Hot,6,o,Shopping,10.66
January,City,Moderate,6,o,Food,10.92
January,Religious,Moderate,3,o,Culture,5.09
June,Historical,Hot,2,o,Culture,12.31
March,Beach,Moderate,10,o,Culture,26.13
August,Wildlife,Hot,10,o,Adventure,17.83
August,Wildlife,Hot,4,o,Shopping,16.93
June,City,Moderate,10,o,Food,13.74
January,Religious,Moderate,4,o,Culture,6.12
July,Wildlife,Hot,5,o,Shopping,14.07
January,Wildlife,Moderate,3,o,Food,20.91
October,Wildlife,Hot,14,o,Culture,18.99
November,Beach,Hot,6,o,Relaxation,18.34
March,Hill Station,Moderate,6,o,Culture,12.65
August,Historical,Hot,1,o,Relaxation,9.72
March,Religious,Moderate,5,o,Relaxation,5.69
April,City,Moderate,4,o,Relaxation,14.41
March,Historical,Hot,14,o,Relaxation,6.51
March,City,Moderate,6,o,Shopping,9.31
November,Hill Station,Moderate,7,o,Food,14.95
November,Religious,Moderate,7,o,Shopping,13.75
July,Historical,Hot,3,o,Adventure,9.83
June,City,Moderate,5,o,Shopping,12.06
July,Religious,Moderate,14,o,Food,7.83
November,Hill Station,Cold,1,o,Shopping,11.82
June,Beach,Hot,6,o,Relaxation,18.85
October,City,Moderate,7,o,Food,13.87
August,Hill Station,Cold,4,o,Relaxation,15.54
July,Hill Station,Cold,2,o,Culture,18.91
July,City,Moderate,3,o,Relaxation,12.39
November,City,Moderate,10,o,Shopping,13.66
March,Hill Station,Moderate,3,o,Shopping,15.02
February,Historical,Hot,6,o,Shopping,11.02
January,Religious,Moderate,3,o,Shopping,10.51
September,City,Moderate,7,o,Food,13.64
August,Religious,Moderate,7,o,Adventure,8.02
July,Historical,Hot,5,o,Culture,8.95
August,Religious,Moderate,14,o,Food,6.83
September,City,Moderate,6,o,Culture,8.2
September,Hill Station,Cold,7,o,Shopping,16.46
January,Religious,Moderate,6,o,Relaxation,8.4
September,Religious,Moderate,10,o,Relaxation,9.46
May,Historical,Hot,1,o,Shopping,9.31
June,Hill Station,Cold,1,o,Shopping,16.96
July,Wildlife,Hot,6,o,Culture,19.43
September,Religious,Moderate,5,o,Adventure,11.49
July,Beach,Hot,1,o,Culture,16.41
November,Historical,Hot,1,o,Culture,8.21
December,Wildlife,Moderate,1,o,Culture,11.62
March,Wildlife,Moderate,2,o,Relaxation,15.85
December,Wildlife,Moderate,3,o,Relaxation,16.63
May,Religious,Moderate,6,o,Shopping,12.67
October,Historical,Hot,10,o,Food,11.6
June,Hill Station,Cold,1,o,Culture,13.8
September,Beach,Moderate,2,o,Shopping,20.81
July,City,Moderate,1,o,Shopping,16.94
July,Beach,Hot,2,o,Adventure,18.3
October,Beach,Hot,14,o,Culture,18.86
June,Wildlife,Hot,10,o,Adventure,16.01
December,Beach,Moderate,3,o,Culture,20.84
July,City,Moderate,3,o,Food,15.59
January,Religious,Moderate,7,o,Culture,7.25
November,Beach,Hot,3,o,Shopping,16.68
October,City,Moderate,6,o,Shopping,10.09
January,Hill Station,Cold,6,o,Relaxation,13.81
May,Beach,Moderate,10,o,Food,17.1
June,Wildlife,Moderate,14,o,Food,16.07
January,Historical,Hot,6,o,Food,9.66
August,City,Moderate,3,o,Culture,9.93
September,Historical,Hot,3,o,Relaxation,15.55
July,Religious,Moderate,1,o,Culture,16.02
September,Religious,Moderate,6,o,Shopping,8.04
June,Hill Station,Moderate,5,o,Food,19.21
November,City,Moderate,10,o,Shopping,12.55
October,Hill Station,Moderate,3,o,Food,10.7
July,Wildlife,Moderate,7,o,Food,20.89
December,Hill Station,Cold,10,o,Food,11.68
March,Beach,Hot,7,o,Food,18.9
July,Wildlife,Hot,4,o,Adventure,16.55
May,Beach,Hot,3,o,Food,17.83
July,Beach,Hot,6,o,Food,19.41
May,Beach,Hot,6,o,Food,19.98
September,City,Moderate,14,o,Culture,12.35
July,Wildlife,Moderate,10,o,Relaxation,18.42
March,Historical,Hot,3,o,Shopping,11.36
September,Historical,Hot,6,o,Adventure,13.99
July,Historical,Hot,7,o,Adventure,9.58
November,Historical,Hot,1,o,Relaxation,15.01
October,Wildlife,Hot,14,o,Relaxation,17.37
June,Hill Station,Cold,4,o,Adventure,13.59
June,Beach,Moderate,1,o,Adventure,18.71
September,Religious,Moderate,4,o,Food,7.71
December,Beach,Hot,4,o,Culture,15.57
June,Beach,Hot,3,o,Relaxation,22.85
April,City,Moderate,10,o,Adventure,13.73
August,Historical,Hot,4,o,Food,7.4
November,Beach,Hot,2,o,Food,19.41
April,Wildlife,Hot,10,o,Relaxation,11.47
December,Religious,Moderate,1,o,Adventure,8.33
August,Religious,Moderate,7,o,Food,10.81
December,Hill Station,Cold,14,o,Culture,16.61
August,Hill Station,Cold,1,o,Shopping,15.43
June,City,Moderate,7,o,Adventure,15.55
February,Religious,Moderate,2,o,Shopping,13.08
February,Beach,Hot,3,o,Food,21.75
March,City,Moderate,4,o,Culture,16.45
February,Historical,Hot,6,o,Culture,11.34
December,Religious,Moderate,10,o,Shopping,14.58
May,Beach,Moderate,10,o,Culture,18.33
October,City,Moderate,5,o,Culture,17.18
March,Wildlife,Hot,14,o,Relaxation,19.13
June,City,Moderate,6,o,Relaxation,12.0
December,Religious,Moderate,3,o,Culture,14.28
December,Wildlife,Moderate,10,o,Shopping,22.01
December,Religious,Moderate,3,o,Relaxation,8.17
May,Beach,Hot,4,o,Shopping,17.77
May,Hill Station,Cold,3,o,Food,18.87
June,Wildlife,Moderate,14,o,Culture,17.89
October,Religious,Moderate,3,o,Shopping,15.86
September,City,Moderate,6,o,Food,11.04
August,Wildlife,Hot,3,o,Shopping,14.21
August,Wildlife,Hot,7,o,Relaxation,14.35
April,Hill Station,Moderate,5,o,Culture,7.23
May,Beach,Hot,2,o,Relaxation,16.96
August,Religious,Moderate,10,o,Culture,13.54
April,Wildlife,Hot,4,o,Food,16.21
November,City,Moderate,2,o,Shopping,11.99
September,City,Moderate,14,o,Culture,15.88
August,Religious,Moderate,14,o,Adventure,12.39
December,Beach,Hot,3,o,Culture,21.42
December,Religious,Moderate,10,o,Relaxation,8.84
May,Beach,Hot,14,o,Food,22.66
December,City,Moderate,2,o,Relaxation,15.28
April,Beach,Moderate,4,o,Adventure,14.42
February,Beach,Hot,14,o,Shopping,22.59
April,Hill Station,Cold,10,o,Adventure,18.02
August,Hill Station,Cold,4,o,Adventure,13.35
August,Hill Station,Cold,5,o,Food,18.49
July,Wildlife,Moderate,2,o,Food,16.74
October,Religious,Moderate,10,o,Relaxation,12.61
October,Hill Station,Cold,5,o,Shopping,16.28
September,Historical,Hot,10,o,Culture,8.38
May,Wildlife,Hot,14,o,Culture,16.25
November,Beach,Hot,14,o,Culture,16.5
February,Wildlife,Moderate,3,o,Shopping,18.56
September,Historical,Hot,10,o,Culture,11.72
February,Historical,Hot,7,o,Relaxation,11.28
August,Religious,Moderate,6,o,Adventure,14.35
February,Religious,Moderate,4,o,Relaxation,11.56
May,Beach,Hot,6,o,Food,21.77
November,Wildlife,Hot,5,o,Adventure,16.75
November,Wildlife,Hot,3,o,Food,11.93
July,City,Moderate,3,o,Relaxation,13.58
September,Beach,Hot,10,o,Culture,18.18
April,Religious,Moderate,5,o,Culture,12.09
March,Historical,Hot,5,o,Culture,12.93
August,City,Moderate,5,o,Culture,7.33
January,Historical,Hot,7,o,Shopping,18.05
November,Hill Station,Cold,3,o,Culture,18.87
December,Historical,Hot,4,o,Adventure,16.37
June,Beach,Moderate,1,o,Culture,15.51
June,City,Moderate,14,o,Shopping,14.07
October,Wildlife,Hot,14,o,Relaxation,17.57
February,Historical,Hot,4,o,Adventure,8.18
December,Beach,Hot,10,o,Shopping,21.14
April,Hill Station,Cold,5,o,Shopping,14.25
February,Wildlife,Hot,1,o,Adventure,24.5
September,Religious,Moderate,6,o,Culture,11.73
August,Historical,Hot,3,o,Adventure,5.75
December,Religious,Moderate,7,o,Culture,12.66
May,Beach,Hot,4,o,Food,18.36
April,Wildlife,Moderate,6,o,Shopping,22.77
September,Wildlife,Hot,5,o,Food,14.68
February,Religious,Moderate,6,o,Relaxation,12.33
March,City,Moderate,6,o,Relaxation,7.89
June,Historical,Hot,6,o,Shopping,13.65
October,Beach,Moderate,1,o,Culture,19.42
July,Beach,Hot,7,o,Shopping,23.55
January,Historical,Hot,14,o,Food,9.42
July,City,Moderate,1,o,Food,12.91
August,Wildlife,Moderate,5,o,Food,15.36
December,Wildlife,Hot,2,o,Adventure,17.09
February,Wildlife,Hot,14,o,Food,16.19
August,Beach,Hot,4,o,Food,27.17
August,Hill Station,Cold,10,o,Culture,16.13
February,Religious,Moderate,3,o,Culture,5.0
September,Religious,Moderate,7,o,Shopping,9.11
May,Hill Station,Cold,1,o,Food,12.85
January,Wildlife,Hot,4,o,Adventure,15.17
May,City,Moderate,4,o,Relaxation,10.05
August,Wildlife,Moderate,4,o,Food,17.6
March,Wildlife,Moderate,4,o,Food,16.76
March,Beach,Moderate,2,o,Culture,18.26
September,Hill Station,Cold,6,o,Relaxation,13.45
April,Hill Station,Cold,4,o,Culture,14.74
July,Beach,Hot,5,o,Relaxation,14.44
January,Beach,Hot,3,o,Culture,22.35
January,Historical,Hot,10,o,Shopping,11.17
January,Religious,Moderate,10,o,Shopping,8.55
April,Historical,Hot,7,o,Relaxation,12.65
March,Wildlife,Hot,14,o,Adventure,16.02
April,Wildlife,Hot,2,o,Relaxation,17.84
July,Historical,Hot,4,o,Culture,15.05
June,Beach,Hot,10,o,Food,22.59
January,City,Moderate,1,o,Shopping,8.75
February,Historical,Hot,6,o,Shopping,8.55
July,City,Moderate,5,o,Adventure,5.0
August,Beach,Hot,1,o,Shopping,17.11
March,City,Moderate,4,o,Adventure,9.54
September,Beach,Moderate,3,o,Relaxation,19.93
January,Beach,Moderate,4,o,Adventure,17.93
October,Religious,Moderate,7,o,Culture,13.78
March,Beach,Hot,14,o,Relaxation,26.61
February,Beach,Hot,3,o,Culture,20.58
May,Hill Station,Cold,7,o,Relaxation,18.43
October,Religious,Moderate,6,o,Culture,10.69
January,Hill Station,Cold,10,o,Culture,16.18
January,Hill Station,Cold,14,o,Shopping,16.38
February,Historical,Hot,1,o,Relaxation,12.58
July,City,Moderate,2,o,Adventure,9.94
July,Hill Station,Cold,14,o,Shopping,15.62
November,Historical,Hot,1,o,Food,10.5
May,City,Moderate,3,o,Shopping,17.28
November,City,Moderate,2,o,Food,13.99
April,Historical,Hot,3,o,Food,14.52
April,Beach,Moderate,2,o,Relaxation,17.15
May,Religious,Moderate,2,o,Shopping,11.96
March,Beach,Hot,5,o,Culture,22.29
September,City,Moderate,14,o,Food,16.38
June,Wildlife,Moderate,7,o,Relaxation,18.72
December,City,Moderate,1,o,Food,10.89
April,Religious,Moderate,3,o,Adventure,6.39
April,Hill Station,Cold,3,o,Adventure,14.57
October,Historical,Hot,10,o,Adventure,11.72
November,Historical,Hot,7,o,Relaxation,11.26
October,Historical,Hot,5,o,Shopping,8.48
December,Wildlife,Hot,5,o,Adventure,16.69
March,Religious,Moderate,5,o,Culture,9.83
August,City,Moderate,2,o,Food,12.08
May,Religious,Moderate,2,o,Food,12.9
September,City,Moderate,3,o,Adventure,10.91
February,Hill Station,Cold,2,o,Shopping,13.91
June,Wildlife,Moderate,5,o,Relaxation,17.15
February,Historical,Hot,14,o,Food,15.93
April,Beach,Moderate,3,o,Food,19.33
April,Religious,Moderate,6,o,Adventure,11.24
September,Wildlife,Hot,14,o,Food,14.42
April,Hill Station,Cold,14,o,Food,14.46
February,Beach,Moderate,3,o,Relaxation,20.49
September,Religious,Moderate,7,o,Relaxation,7.7
July,Beach,Moderate,5,o,Adventure,24.26
August,Historical,Hot,6,o,Shopping,9.27
February,Beach,Hot,5,o,Adventure,16.34
December,Religious,Moderate,2,o,Relaxation,12.79
March,Hill Station,Moderate,10,o,Relaxation,13.23
March,Beach,Hot,7,o,Shopping,15.5
June,Historical,Hot,2,o,Relaxation,9.66
July,Beach,Hot,2,o,Relaxation,23.64
August,Religious,Moderate,3,o,Relaxation,9.52
January,Religious,Moderate,2,o,Culture,14.16
February,Wildlife,Moderate,10,o,Food,16.44
February,Beach,Moderate,14,o,Culture,17.97
February,Religious,Moderate,6,o,Relaxation,7.72
May,City,Moderate,2,o,Shopping,11.24
October,Religious,Moderate,3,o,Shopping,15.25
April,Religious,Moderate,14,o,Culture,7.75
October,Hill Station,Moderate,6,o,Food,21.35
July,Beach,Hot,1,o,Shopping,19.56
December,Religious,Moderate,5,o,Culture,10.04
November,City,Moderate,5,o,Shopping,9.19
February,City,Moderate,10,o,Adventure,12.7
October,Beach,Hot,7,o,Relaxation,18.18
December,Religious,Moderate,10,o,Adventure,10.59
September,Wildlife,Hot,7,o,Food,22.05
November,Hill Station,Cold,2,o,Food,18.0
April,Wildlife,Hot,6,o,Adventure,17.41
December,Wildlife,Moderate,1,o,Shopping,9.14
October,City,Moderate,14,o,Shopping,16.21
November,Hill Station,Cold,1,o,Shopping,18.82
November,Beach,Hot,6,o,Adventure,19.83
January,Hill Station,Cold,10,o,Shopping,16.01
June,City,Moderate,4,o,Culture,13.77
June,City,Moderate,10,o,Adventure,14.45
April,Religious,Moderate,14,o,Relaxation,15.01
June,Wildlife,Hot,3,o,Shopping,18.11
June,Historical,Hot,14,o,Culture,7.44
May,Religious,Moderate,2,o,Culture,5.0
June,Religious,Moderate,10,o,Shopping,12.17
April,Religious,Moderate,5,o,Shopping,10.72
June,Religious,Moderate,10,o,Culture,9.46
June,City,Moderate,1,o,Relaxation,13.73
May,Hill Station,Moderate,14,o,Food,12.7
September,Religious,Moderate,3,o,Food,10.9
February,Historical,Hot,2,o,Relaxation,5.4
March,Religious,Moderate,6,o,Culture,14.96
March,Wildlife,Hot,7,o,Shopping,18.58
October,Hill Station,Cold,2,o,Food,13.57
January,City,Moderate,4,o,Shopping,7.41
January,Wildlife,Hot,10,o,Culture,17.34
April,Beach,Moderate,10,o,Relaxation,17.15
January,Religious,Moderate,5,o,Relaxation,9.19
August,Beach,Hot,10,o,Food,22.96
March,Historical,Hot,14,o,Shopping,9.86
July,Wildlife,Hot,5,o,Food,15.21
July,Religious,Moderate,6,o,Culture,9.54
September,City,Moderate,6,o,Culture,14.38
December,Hill Station,Cold,4,o,Culture,14.48
September,Wildlife,Hot,10,o,Adventure,13.01
October,Wildlife,Hot,4,o,Adventure,16.82
April,Religious,Moderate,10,o,Food,16.44
October,City,Moderate,10,o,Shopping,11.97
March,Historical,Hot,1,o,Adventure,12.84
November,Wildlife,Moderate,1,o,Food,15.47
February,City,Moderate,6,o,Relaxation,12.71
May,Hill Station,Cold,1,o,Food,11.68
December,Religious,Moderate,3,o,Shopping,9.75
May,Historical,Hot,14,o,Shopping,11.81
April,Religious,Moderate,14,o,Culture,12.19
November,Historical,Hot,6,o,Food,12.79
October,Hill Station,Cold,2,o,Culture,9.88
July,Hill Station,Cold,3,o,Food,22.91
October,Religious,Moderate,3,o,Relaxation,14.29
December,Beach,Moderate,2,o,Shopping,15.3
July,City,Moderate,7,o,Adventure,13.03
March,Historical,Hot,6,o,Shopping,13.68
June,Beach,Hot,3,o,Culture,20.73
August,Religious,Moderate,2,o,Culture,7.73
April,Beach,Hot,4,o,Shopping,17.97
August,City,Moderate,2,o,Culture,8.29
October,Wildlife,Hot,1,o,Adventure,17.33
February,Wildlife,Moderate,3,o,Culture,15.12
June,Hill Station,Cold,7,o,Adventure,16.48
October,City,Moderate,6,o,Food,5.0
November,Hill Station,Cold,10,o,Relaxation,13.26
February,Beach,Hot,3,o,Culture,19.23
March,Wildlife,Hot,10,o,Food,16.52
March,Religious,Moderate,10,o,Food,12.29
February,Hill Station,Cold,5,o,Food,15.14
November,City,Moderate,3,o,Culture,14.68
August,Wildlife,Moderate,4,o,Adventure,15.98
June,Wildlife,Hot,10,o,Food,12.07
February,Religious,Moderate,14,o,Shopping,11.97
June,Hill Station,Cold,3,o,Relaxation,9.59
July,Beach,Hot,1,o,Relaxation,19.98
November,City,Moderate,2,o,Shopping,16.54
September,Wildlife,Hot,14,o,Culture,17.73
November,Wildlife,Hot,4,o,Food,12.44
August,City,Moderate,4,o,Relaxation,13.83
July,City,Moderate,7,o,Shopping,13.03
August,Hill Station,Cold,2,o,Adventure,18.86
July,City,Moderate,5,o,Food,11.17
September,Historical,Hot,1,o,Adventure,10.81
October,Beach,Hot,14,o,Culture,16.61
September,Beach,Hot,1,o,Adventure,19.75
April,Hill Station,Moderate,6,o,Shopping,19.53
December,Wildlife,Hot,14,o,Shopping,20.22
June,Wildlife,Moderate,1,o,Food,15.36
March,Beach,Hot,4,o,Shopping,14.85
December,Religious,Moderate,4,o,Adventure,11.1
November,Historical,Hot,1,o,Food,5.0
December,Hill Station,Moderate,2,o,Relaxation,16.77
November,City,Moderate,6,o,Relaxation,16.23
June,Beach,Hot,7,o,Relaxation,20.63
October,Hill Station,Cold,4,o,Relaxation,15.7
November,Wildlife,Hot,5,o,Shopping,20.11
December,Beach,Hot,1,o,Shopping,19.72
May,Historical,Hot,4,o,Shopping,9.34
January,Historical,Hot,7,o,Food,14.99
November,Hill Station,Cold,4,o,Relaxation,14.14
March,Hill Station,Moderate,10,o,Adventure,17.28
June,Hill Station,Moderate,3,o,Food,14.12
May,Religious,Moderate,14,o,Shopping,5.34
May,City,Moderate,2,o,Food,11.21
February,Hill Station,Cold,14,o,Relaxation,11.64
September,Historical,Hot,1,o,Relaxation,14.79
February,Historical,Hot,4,o,Adventure,11.6
February,Hill Station,Cold,2,o,Relaxation,13.43
June,Beach,Hot,10,o,Food,13.93
October,Religious,Moderate,1,o,Shopping,10.7
December,Religious,Moderate,6,o,Relaxation,9.2
June,Hill Station,Moderate,5,o,Relaxation,12.1
April,Beach,Hot,1,o,Shopping,26.28
May,Historical,Hot,14,o,Relaxation,7.46
November,Hill Station,Moderate,4,o,Relaxation,17.34
August,City,Moderate,2,o,Adventure,9.67
March,Beach,Hot,3,o,Food,17.66
February,Wildlife,Hot,2,o,Adventure,17.61
December,Historical,Hot,3,o,Food,12.44
January,Religious,Moderate,3,o,Culture,9.03
July,Hill Station,Moderate,1,o,Adventure,16.53
October,Wildlife,Moderate,2,o,Shopping,15.71
September,Beach,Moderate,2,o,Food,15.55
November,Hill Station,Cold,7,o,Food,14.37
December,City,Moderate,4,o,Shopping,11.3
May,Religious,Moderate,6,o,Food,7.64
March,Religious,Moderate,10,o,Shopping,13.44
March,Wildlife,Moderate,5,o,Relaxation,23.56
May,Religious,Moderate,3,o,Shopping,8.05
May,City,Moderate,3,o,Shopping,10.62
December,Hill Station,Cold,14,o,Shopping,19.95
November,Beach,Hot,6,o,Relaxation,17.84
July,Beach,Hot,10,o,Shopping,20.88
July,Religious,Moderate,10,o,Shopping,10.8
November,City,Moderate,7,o,Culture,9.59
April,Beach,Hot,4,o,Relaxation,17.32
June,Wildlife,Hot,10,o,Food,17.31
November,Wildlife,Moderate,5,o,Culture,17.32
August,Beach,Hot,2,o,Relaxation,18.81
October,Wildlife,Hot,7,o,Culture,16.49
June,Hill Station,Cold,14,o,Relaxation,9.84
July,Beach,Hot,3,o,Food,17.25
July,Historical,Hot,3,o,Relaxation,9.71
October,City,Moderate,4,o,Shopping,16.11
August,Beach,Moderate,4,o,Culture,18.6
June,Religious,Moderate,14,o,Shopping,5.64
February,Religious,Moderate,2,o,Adventure,13.8
June,Hill Station,Moderate,2,o,Adventure,18.29
December,City,Moderate,3,o,Relaxation,15.04
June,Beach,Hot,6,o,Adventure,16.54
June,Wildlife,Hot,3,o,Shopping,18.42
September,City,Moderate,3,o,Adventure,11.06
February,Beach,Hot,14,o,Shopping,19.4
September,Wildlife,Moderate,14,o,Relaxation,11.7
December,Religious,Moderate,4,o,Culture,13.82
February,Hill Station,Cold,1,o,Shopping,15.58
July,Beach,Hot,10,o,Shopping,18.04
December,Beach,Hot,6,o,Food,20.08
January,Historical,Hot,10,o,Shopping,6.1
February,Religious,Moderate,6,o,Culture,10.75
October,Hill Station,Cold,5,o,Relaxation,8.89
February,Religious,Moderate,4,o,Relaxation,11.14
December,Religious,Moderate,2,o,Culture,10.25
October,City,Moderate,7,o,Adventure,7.98
April,Beach,Hot,14,o,Culture,18.19
June,City,Moderate,3,o,Shopping,13.95
May,Hill Station,Moderate,10,o,Culture,16.77
May,Historical,Hot,10,o,Adventure,14.04
September,Religious,Moderate,1,o,Culture,11.92
January,Beach,Moderate,5,o,Food,17.53
July,Historical,Hot,7,o,Shopping,17.58
June,Hill Station,Cold,6,o,Shopping,17.95
December,Wildlife,Hot,6,o,Shopping,17.29
September,Beach,Hot,4,o,Culture,19.03
February,Historical,Hot,10,o,Culture,6.77
September,Religious,Moderate,2,o,Culture,9.36
April,Hill Station,Cold,2,o,Adventure,16.21
March,Beach,Hot,4,o,Adventure,17.68
December,Hill Station,Cold,1,o,Adventure,15.24
February,Religious,Moderate,3,o,Food,14.16
November,Wildlife,Hot,2,o,Culture,17.89
December,Wildlife,Hot,3,o,Adventure,14.67
February,Beach,Moderate,2,o,Relaxation,18.0
April,Hill Station,Cold,1,o,Relaxation,15.59
June,Religious,Moderate,14,o,Shopping,9.78
